"","sample_id","group","batch"
"GSM2179152","GSM2179152","metastasis","GEO"
"GSM2179153","GSM2179153","metastasis","GEO"
"GSM2179154","GSM2179154","metastasis","GEO"
"GSM2179155","GSM2179155","metastasis","GEO"
"GSM2179156","GSM2179156","metastasis","GEO"
"GSM2179157","GSM2179157","primary","GEO"
"GSM2179158","GSM2179158","primary","GEO"
"GSM2179159","GSM2179159","primary","GEO"
"GSM2179160","GSM2179160","primary","GEO"
"GSM2179161","GSM2179161","primary","GEO"
"GSM2179162","GSM2179162","primary","GEO"
"GSM2179163","GSM2179163","primary","GEO"
"GSM2179164","GSM2179164","primary","GEO"
"GSM2179165","GSM2179165","primary","GEO"
"GSM2179166","GSM2179166","primary","GEO"
"GSM2179167","GSM2179167","primary","GEO"
"GSM2179168","GSM2179168","primary","GEO"
"GSM2179169","GSM2179169","primary","GEO"
"GSM2179170","GSM2179170","primary","GEO"
"GSM2179171","GSM2179171","primary","GEO"
"GSM2179172","GSM2179172","primary","GEO"
"GSM2179173","GSM2179173","primary","GEO"
"GSM2179174","GSM2179174","primary","GEO"
"GSM2179175","GSM2179175","primary","GEO"
"GSM2179176","GSM2179176","primary","GEO"
"GSM2179177","GSM2179177","primary","GEO"
"GSM2179178","GSM2179178","primary","GEO"
"GSM2179179","GSM2179179","primary","GEO"
"GSM2179180","GSM2179180","primary","GEO"
"GSM2179181","GSM2179181","primary","GEO"
"GSM2179182","GSM2179182","primary","GEO"
"GSM2179183","GSM2179183","primary","GEO"
"GSM2179184","GSM2179184","primary","GEO"
"GSM2179185","GSM2179185","primary","GEO"
"GSM2179186","GSM2179186","primary","GEO"
"GSM2179187","GSM2179187","primary","GEO"
"GSM2179188","GSM2179188","primary","GEO"
"GSM2179189","GSM2179189","primary","GEO"
"GSM2179190","GSM2179190","primary","GEO"
"GSM2179191","GSM2179191","primary","GEO"
"GSM2179192","GSM2179192","primary","GEO"
"GSM2179193","GSM2179193","primary","GEO"
"GSM2179194","GSM2179194","primary","GEO"
"GSM2179195","GSM2179195","primary","GEO"
"GSM2179196","GSM2179196","primary","GEO"
"GSM2179197","GSM2179197","primary","GEO"
"GSM2179198","GSM2179198","primary","GEO"
"GSM2179199","GSM2179199","primary","GEO"
"GSM2179200","GSM2179200","primary","GEO"
"GSM2179201","GSM2179201","primary","GEO"
"GSM2179202","GSM2179202","primary","GEO"
"GSM2179203","GSM2179203","primary","GEO"
"GSM2179204","GSM2179204","primary","GEO"
"GSM2179205","GSM2179205","primary","GEO"
"GSM2179206","GSM2179206","primary","GEO"
"GSM2179207","GSM2179207","metastasis","GEO"
"GSM2179208","GSM2179208","metastasis","GEO"
"GSM2179209","GSM2179209","metastasis","GEO"
"GSM2179210","GSM2179210","metastasis","GEO"
"GSM2179211","GSM2179211","metastasis","GEO"
"GSM2179212","GSM2179212","metastasis","GEO"
"GSM2179213","GSM2179213","metastasis","GEO"
"GSM2179214","GSM2179214","metastasis","GEO"
"GSM2179215","GSM2179215","metastasis","GEO"
"GSM2179216","GSM2179216","metastasis","GEO"
"GSM2179217","GSM2179217","metastasis","GEO"
"GSM2179218","GSM2179218","metastasis","GEO"
"GSM2179219","GSM2179219","metastasis","GEO"
"GSM2179220","GSM2179220","metastasis","GEO"
"GSM2179221","GSM2179221","metastasis","GEO"
"GSM2179222","GSM2179222","metastasis","GEO"
"GSM2179223","GSM2179223","metastasis","GEO"
"GSM2179224","GSM2179224","metastasis","GEO"
"GSM2179225","GSM2179225","metastasis","GEO"
"GSM2179226","GSM2179226","metastasis","GEO"
"GSM2179227","GSM2179227","metastasis","GEO"
"GSM2179228","GSM2179228","metastasis","GEO"
"GSM2179229","GSM2179229","metastasis","GEO"
"GSM2179230","GSM2179230","metastasis","GEO"
"GSM2179231","GSM2179231","metastasis","GEO"
"GSM2179232","GSM2179232","metastasis","GEO"
"GSM2179233","GSM2179233","metastasis","GEO"
"GSM2179234","GSM2179234","metastasis","GEO"
"GSM2179235","GSM2179235","metastasis","GEO"
"GSM2179236","GSM2179236","metastasis","GEO"
"GSM687467","GSM687467","metastasis","GEO"
"GSM687468","GSM687468","primary","GEO"
"GSM687469","GSM687469","primary","GEO"
"GSM687470","GSM687470","primary","GEO"
"GSM687471","GSM687471","primary","GEO"
"GSM687472","GSM687472","primary","GEO"
"GSM687473","GSM687473","metastasis","GEO"
"GSM687474","GSM687474","metastasis","GEO"
"GSM687475","GSM687475","primary","GEO"
"GSM687476","GSM687476","primary","GEO"
"GSM687477","GSM687477","primary","GEO"
"GSM687478","GSM687478","primary","GEO"
"GSM687479","GSM687479","metastasis","GEO"
"GSM687480","GSM687480","metastasis","GEO"
"GSM687481","GSM687481","primary","GEO"
"GSM687482","GSM687482","primary","GEO"
"GSM687483","GSM687483","metastasis","GEO"
"GSM687484","GSM687484","metastasis","GEO"
"GSM687485","GSM687485","primary","GEO"
"GSM687486","GSM687486","metastasis","GEO"
"GSM687487","GSM687487","metastasis","GEO"
"GSM687488","GSM687488","primary","GEO"
"GSM687489","GSM687489","primary","GEO"
"GSM687490","GSM687490","primary","GEO"
"GSM687491","GSM687491","primary","GEO"
"GSM687492","GSM687492","metastasis","GEO"
"GSM687493","GSM687493","primary","GEO"
"GSM687494","GSM687494","primary","GEO"
"GSM687495","GSM687495","primary","GEO"
"GSM687496","GSM687496","metastasis","GEO"
"GSM687497","GSM687497","primary","GEO"
"GSM687498","GSM687498","metastasis","GEO"
"GSM687499","GSM687499","primary","GEO"
"GSM687500","GSM687500","primary","GEO"
"GSM687501","GSM687501","primary","GEO"
"GSM687502","GSM687502","metastasis","GEO"
"GSM687503","GSM687503","primary","GEO"
"GSM687504","GSM687504","primary","GEO"
"GSM687505","GSM687505","primary","GEO"
"GSM687506","GSM687506","primary","GEO"
"GSM687507","GSM687507","metastasis","GEO"
"GSM687508","GSM687508","metastasis","GEO"
"GSM687509","GSM687509","primary","GEO"
"GSM687510","GSM687510","primary","GEO"
"GSM687511","GSM687511","primary","GEO"
"GSM687512","GSM687512","metastasis","GEO"
"GSM687513","GSM687513","primary","GEO"
"GSM687514","GSM687514","metastasis","GEO"
"GSM687515","GSM687515","metastasis","GEO"
"GSM687516","GSM687516","primary","GEO"
"GSM687517","GSM687517","metastasis","GEO"
"GSM687518","GSM687518","primary","GEO"
"GSM687519","GSM687519","primary","GEO"
"GSM687520","GSM687520","primary","GEO"
"GSM687521","GSM687521","metastasis","GEO"
"GSM687522","GSM687522","metastasis","GEO"
"GSM687523","GSM687523","primary","GEO"
"GSM687524","GSM687524","primary","GEO"
"GSM687525","GSM687525","metastasis","GEO"
"GSM687526","GSM687526","primary","GEO"
"GSM687527","GSM687527","metastasis","GEO"
"GSM687528","GSM687528","metastasis","GEO"
"GSM687529","GSM687529","metastasis","GEO"
"GSM687530","GSM687530","primary","GEO"
"GSM687531","GSM687531","primary","GEO"
"GSM687532","GSM687532","metastasis","GEO"
"GSM687533","GSM687533","metastasis","GEO"
"GSM687534","GSM687534","primary","GEO"
"GSM687535","GSM687535","primary","GEO"
"GSM687536","GSM687536","primary","GEO"
"GSM687537","GSM687537","primary","GEO"
"GSM687538","GSM687538","primary","GEO"
"GSM687539","GSM687539","primary","GEO"
"GSM687540","GSM687540","primary","GEO"
"GSM687541","GSM687541","primary","GEO"
"GSM687542","GSM687542","metastasis","GEO"
"GSM687543","GSM687543","primary","GEO"
"GSM687544","GSM687544","primary","GEO"
"GSM687545","GSM687545","primary","GEO"
"GSM687546","GSM687546","primary","GEO"
"GSM687547","GSM687547","primary","GEO"
"GSM687548","GSM687548","primary","GEO"
"GSM687549","GSM687549","metastasis","GEO"
"GSM687550","GSM687550","primary","GEO"
"GSM687551","GSM687551","metastasis","GEO"
"GSM687552","GSM687552","metastasis","GEO"
"GSM687553","GSM687553","primary","GEO"
"GSM687554","GSM687554","primary","GEO"
"GSM687555","GSM687555","primary","GEO"
"GSM687556","GSM687556","primary","GEO"
"GSM687557","GSM687557","metastasis","GEO"
"GSM687558","GSM687558","primary","GEO"
"GSM687559","GSM687559","primary","GEO"
"GSM687560","GSM687560","primary","GEO"
"GSM687561","GSM687561","primary","GEO"
"GSM687562","GSM687562","primary","GEO"
"GSM687563","GSM687563","primary","GEO"
"GSM687564","GSM687564","metastasis","GEO"
"GSM687565","GSM687565","primary","GEO"
"GSM687566","GSM687566","primary","GEO"
"GSM687567","GSM687567","metastasis","GEO"
"GSM687568","GSM687568","metastasis","GEO"
"GSM687569","GSM687569","primary","GEO"
"GSM687570","GSM687570","metastasis","GEO"
"GSM687571","GSM687571","primary","GEO"
"GSM687572","GSM687572","primary","GEO"
"GSM687573","GSM687573","metastasis","GEO"
"GSM687574","GSM687574","metastasis","GEO"
"GSM687575","GSM687575","primary","GEO"
"GSM687576","GSM687576","primary","GEO"
"GSM687577","GSM687577","primary","GEO"
"GSM687578","GSM687578","metastasis","GEO"
"GSM687579","GSM687579","primary","GEO"
"GSM687580","GSM687580","primary","GEO"
"GSM687581","GSM687581","metastasis","GEO"
"GSM1830790","GSM1830790","metastasis","GEO"
"GSM1830791","GSM1830791","primary","GEO"
"GSM1830792","GSM1830792","primary","GEO"
"GSM1830793","GSM1830793","primary","GEO"
"GSM1830794","GSM1830794","primary","GEO"
"GSM1830795","GSM1830795","metastasis","GEO"
"GSM1830796","GSM1830796","primary","GEO"
"GSM1830797","GSM1830797","primary","GEO"
"GSM1830798","GSM1830798","primary","GEO"
"GSM1830799","GSM1830799","primary","GEO"
"GSM1830800","GSM1830800","primary","GEO"
"GSM1830801","GSM1830801","metastasis","GEO"
"GSM1830802","GSM1830802","primary","GEO"
"GSM1830803","GSM1830803","primary","GEO"
"GSM1830804","GSM1830804","primary","GEO"
"GSM1830805","GSM1830805","primary","GEO"
"GSM1830806","GSM1830806","primary","GEO"
"GSM1830807","GSM1830807","primary","GEO"
"GSM1830808","GSM1830808","primary","GEO"
"GSM1830809","GSM1830809","primary","GEO"
"GSM1830810","GSM1830810","primary","GEO"
"GSM1830811","GSM1830811","primary","GEO"
"GSM1830812","GSM1830812","primary","GEO"
"GSM1830813","GSM1830813","primary","GEO"
"GSM1830814","GSM1830814","metastasis","GEO"
"GSM1830815","GSM1830815","primary","GEO"
"GSM1830816","GSM1830816","metastasis","GEO"
"GSM1830817","GSM1830817","primary","GEO"
"GSM1830818","GSM1830818","primary","GEO"
"GSM1830819","GSM1830819","metastasis","GEO"
"GSM1830820","GSM1830820","metastasis","GEO"
"GSM1830821","GSM1830821","primary","GEO"
"GSM1830822","GSM1830822","primary","GEO"
"GSM1830823","GSM1830823","primary","GEO"
"GSM1830824","GSM1830824","primary","GEO"
"GSM1830825","GSM1830825","metastasis","GEO"
"GSM1830826","GSM1830826","primary","GEO"
"GSM1830827","GSM1830827","primary","GEO"
"GSM1830828","GSM1830828","metastasis","GEO"
"GSM1830829","GSM1830829","primary","GEO"
"GSM1830830","GSM1830830","primary","GEO"
"GSM1830831","GSM1830831","primary","GEO"
"GSM1830832","GSM1830832","primary","GEO"
"GSM1830833","GSM1830833","primary","GEO"
"GSM1830834","GSM1830834","primary","GEO"
"GSM1830835","GSM1830835","primary","GEO"
"GSM1830836","GSM1830836","primary","GEO"
"GSM1830837","GSM1830837","primary","GEO"
"GSM1830838","GSM1830838","primary","GEO"
"GSM1830839","GSM1830839","primary","GEO"
"GSM1830840","GSM1830840","primary","GEO"
"GSM1830841","GSM1830841","primary","GEO"
"GSM1830842","GSM1830842","primary","GEO"
"GSM1830843","GSM1830843","metastasis","GEO"
"GSM1830844","GSM1830844","metastasis","GEO"
"GSM1830845","GSM1830845","primary","GEO"
"GSM1830846","GSM1830846","primary","GEO"
"GSM1830847","GSM1830847","primary","GEO"
"GSM1830848","GSM1830848","primary","GEO"
"GSM1830849","GSM1830849","primary","GEO"
"GSM1830850","GSM1830850","primary","GEO"
"GSM1830851","GSM1830851","primary","GEO"
"GSM1830852","GSM1830852","metastasis","GEO"
"GSM1830853","GSM1830853","primary","GEO"
"GSM1830854","GSM1830854","primary","GEO"
"GSM1830855","GSM1830855","primary","GEO"
"GSM1830856","GSM1830856","primary","GEO"
"GSM1830857","GSM1830857","primary","GEO"
"GSM1830858","GSM1830858","primary","GEO"
"GSM1830859","GSM1830859","primary","GEO"
"GSM1830860","GSM1830860","primary","GEO"
"GSM1830861","GSM1830861","primary","GEO"
"GSM1830862","GSM1830862","primary","GEO"
"GSM1830863","GSM1830863","primary","GEO"
"GSM1830864","GSM1830864","primary","GEO"
"GSM1830865","GSM1830865","primary","GEO"
"GSM1830866","GSM1830866","primary","GEO"
"GSM1830867","GSM1830867","metastasis","GEO"
"GSM1830868","GSM1830868","primary","GEO"
"GSM1830869","GSM1830869","metastasis","GEO"
"GSM1830870","GSM1830870","primary","GEO"
"GSM1830871","GSM1830871","primary","GEO"
"GSM1830872","GSM1830872","primary","GEO"
"GSM1830873","GSM1830873","primary","GEO"
"GSM1830874","GSM1830874","metastasis","GEO"
"GSM1830875","GSM1830875","primary","GEO"
"GSM1830876","GSM1830876","primary","GEO"
"GSM1830877","GSM1830877","primary","GEO"
"GSM1830878","GSM1830878","primary","GEO"
"GSM1830879","GSM1830879","primary","GEO"
"GSM1830880","GSM1830880","primary","GEO"
"GSM1830881","GSM1830881","primary","GEO"
"GSM1830882","GSM1830882","primary","GEO"
"GSM1830883","GSM1830883","primary","GEO"
"GSM1830884","GSM1830884","primary","GEO"
"GSM1830885","GSM1830885","primary","GEO"
"GSM1830886","GSM1830886","primary","GEO"
"GSM1830887","GSM1830887","primary","GEO"
"GSM1830888","GSM1830888","primary","GEO"
"GSM1830889","GSM1830889","primary","GEO"
"GSM1830890","GSM1830890","metastasis","GEO"
"GSM1830891","GSM1830891","primary","GEO"
"GSM1830892","GSM1830892","primary","GEO"
"GSM1830893","GSM1830893","primary","GEO"
"GSM1830894","GSM1830894","primary","GEO"
"GSM1830895","GSM1830895","primary","GEO"
"GSM1830896","GSM1830896","primary","GEO"
"GSM1830897","GSM1830897","metastasis","GEO"
"GSM1830898","GSM1830898","primary","GEO"
"GSM1830899","GSM1830899","primary","GEO"
"GSM1830900","GSM1830900","primary","GEO"
"GSM1830901","GSM1830901","primary","GEO"
"GSM1830902","GSM1830902","primary","GEO"
"GSM1830903","GSM1830903","primary","GEO"
"GSM1830904","GSM1830904","primary","GEO"
"GSM1830905","GSM1830905","primary","GEO"
"GSM1830906","GSM1830906","primary","GEO"
"GSM1830907","GSM1830907","primary","GEO"
"GSM1830908","GSM1830908","primary","GEO"
"GSM1830909","GSM1830909","primary","GEO"
"GSM1830910","GSM1830910","primary","GEO"
"GSM1830911","GSM1830911","metastasis","GEO"
"GSM1830912","GSM1830912","primary","GEO"
"GSM1830913","GSM1830913","primary","GEO"
"GSM1830914","GSM1830914","metastasis","GEO"
"GSM1830915","GSM1830915","primary","GEO"
"GSM1830916","GSM1830916","primary","GEO"
"GSM1830917","GSM1830917","primary","GEO"
"GSM1830918","GSM1830918","primary","GEO"
"GSM1830919","GSM1830919","metastasis","GEO"
"GSM1830920","GSM1830920","primary","GEO"
"GSM1830921","GSM1830921","primary","GEO"
"GSM1830922","GSM1830922","primary","GEO"
"GSM1830923","GSM1830923","primary","GEO"
"GSM1830924","GSM1830924","primary","GEO"
"GSM1830925","GSM1830925","primary","GEO"
"GSM1830926","GSM1830926","metastasis","GEO"
"GSM1830927","GSM1830927","primary","GEO"
"GSM1830928","GSM1830928","primary","GEO"
"GSM1830929","GSM1830929","primary","GEO"
"GSM1830930","GSM1830930","metastasis","GEO"
"GSM1830931","GSM1830931","primary","GEO"
"GSM1830932","GSM1830932","primary","GEO"
"GSM1830933","GSM1830933","metastasis","GEO"
"GSM1830934","GSM1830934","metastasis","GEO"
"GSM1830935","GSM1830935","primary","GEO"
"GSM1830936","GSM1830936","primary","GEO"
"GSM1830937","GSM1830937","primary","GEO"
"GSM1830938","GSM1830938","metastasis","GEO"
"GSM1830939","GSM1830939","primary","GEO"
"GSM1830940","GSM1830940","primary","GEO"
"GSM1830941","GSM1830941","metastasis","GEO"
"GSM1019390","GSM1019390","metastasis","GEO"
"GSM1019391","GSM1019391","metastasis","GEO"
"GSM1019392","GSM1019392","metastasis","GEO"
"GSM1019393","GSM1019393","metastasis","GEO"
"GSM1019394","GSM1019394","metastasis","GEO"
"GSM1019395","GSM1019395","metastasis","GEO"
"GSM1019396","GSM1019396","metastasis","GEO"
"GSM1019397","GSM1019397","metastasis","GEO"
"GSM1019398","GSM1019398","metastasis","GEO"
"GSM1019399","GSM1019399","metastasis","GEO"
"GSM1019400","GSM1019400","metastasis","GEO"
"GSM1019401","GSM1019401","metastasis","GEO"
"GSM1019402","GSM1019402","metastasis","GEO"
"GSM1019403","GSM1019403","metastasis","GEO"
"GSM1019404","GSM1019404","metastasis","GEO"
"GSM1019405","GSM1019405","metastasis","GEO"
"GSM1019406","GSM1019406","metastasis","GEO"
"GSM1019407","GSM1019407","metastasis","GEO"
"GSM1019408","GSM1019408","metastasis","GEO"
"GSM1019409","GSM1019409","metastasis","GEO"
"GSM1019410","GSM1019410","metastasis","GEO"
"GSM1019411","GSM1019411","metastasis","GEO"
"GSM1019412","GSM1019412","metastasis","GEO"
"GSM1019413","GSM1019413","metastasis","GEO"
"GSM1019414","GSM1019414","metastasis","GEO"
"GSM1019415","GSM1019415","metastasis","GEO"
"GSM1019416","GSM1019416","metastasis","GEO"
"GSM1019417","GSM1019417","metastasis","GEO"
"GSM1019418","GSM1019418","metastasis","GEO"
"GSM1019419","GSM1019419","metastasis","GEO"
"GSM1019420","GSM1019420","metastasis","GEO"
"GSM1019421","GSM1019421","metastasis","GEO"
"GSM1019422","GSM1019422","metastasis","GEO"
"GSM1019423","GSM1019423","metastasis","GEO"
"GSM1019424","GSM1019424","metastasis","GEO"
"GSM1019425","GSM1019425","metastasis","GEO"
"GSM1019426","GSM1019426","metastasis","GEO"
"GSM1019427","GSM1019427","metastasis","GEO"
"GSM1019428","GSM1019428","metastasis","GEO"
"GSM1019429","GSM1019429","metastasis","GEO"
"GSM1019430","GSM1019430","metastasis","GEO"
"GSM1019431","GSM1019431","metastasis","GEO"
"GSM1019432","GSM1019432","metastasis","GEO"
"GSM1019433","GSM1019433","metastasis","GEO"
"GSM1019434","GSM1019434","metastasis","GEO"
"GSM1019435","GSM1019435","metastasis","GEO"
"GSM1019436","GSM1019436","metastasis","GEO"
"GSM1019437","GSM1019437","metastasis","GEO"
"GSM1019438","GSM1019438","metastasis","GEO"
"GSM1019439","GSM1019439","metastasis","GEO"
"GSM1019440","GSM1019440","metastasis","GEO"
"GSM1019441","GSM1019441","metastasis","GEO"
"GSM1019442","GSM1019442","metastasis","GEO"
"GSM1019443","GSM1019443","metastasis","GEO"
"GSM1019444","GSM1019444","metastasis","GEO"
"GSM1019445","GSM1019445","metastasis","GEO"
"GSM1019446","GSM1019446","metastasis","GEO"
"GSM1019447","GSM1019447","metastasis","GEO"
"GSM1019448","GSM1019448","metastasis","GEO"
"GSM1019449","GSM1019449","metastasis","GEO"
"GSM1019450","GSM1019450","metastasis","GEO"
"GSM1019451","GSM1019451","metastasis","GEO"
"GSM1019452","GSM1019452","metastasis","GEO"
"GSM1019453","GSM1019453","metastasis","GEO"
"GSM1019454","GSM1019454","metastasis","GEO"
"GSM1019455","GSM1019455","metastasis","GEO"
"GSM1019456","GSM1019456","metastasis","GEO"
"GSM1019457","GSM1019457","metastasis","GEO"
"GSM1019458","GSM1019458","metastasis","GEO"
"GSM1019459","GSM1019459","metastasis","GEO"
"GSM1019460","GSM1019460","metastasis","GEO"
"GSM1019461","GSM1019461","metastasis","GEO"
"GSM1019462","GSM1019462","metastasis","GEO"
"GSM1019463","GSM1019463","metastasis","GEO"
"GSM1019464","GSM1019464","metastasis","GEO"
"GSM1019465","GSM1019465","metastasis","GEO"
"GSM1019466","GSM1019466","metastasis","GEO"
"GSM1019467","GSM1019467","metastasis","GEO"
"GSM1019468","GSM1019468","metastasis","GEO"
"GSM1019469","GSM1019469","metastasis","GEO"
"GSM1019470","GSM1019470","metastasis","GEO"
"GSM1019471","GSM1019471","metastasis","GEO"
"GSM1019472","GSM1019472","metastasis","GEO"
"GSM1019473","GSM1019473","metastasis","GEO"
"GSM1019474","GSM1019474","metastasis","GEO"
"GSM1019475","GSM1019475","metastasis","GEO"
"GSM1019476","GSM1019476","metastasis","GEO"
"GSM1019477","GSM1019477","metastasis","GEO"
"GSM1019478","GSM1019478","metastasis","GEO"
"GSM1019479","GSM1019479","metastasis","GEO"
"GSM1019480","GSM1019480","metastasis","GEO"
"GSM1019481","GSM1019481","metastasis","GEO"
"GSM1019482","GSM1019482","metastasis","GEO"
"GSM1019483","GSM1019483","metastasis","GEO"
"GSM1019484","GSM1019484","primary","GEO"
"GSM1019485","GSM1019485","primary","GEO"
"GSM1019486","GSM1019486","primary","GEO"
"GSM1019487","GSM1019487","primary","GEO"
"GSM1019488","GSM1019488","primary","GEO"
"GSM1019489","GSM1019489","primary","GEO"
"GSM1019490","GSM1019490","primary","GEO"
"GSM1019491","GSM1019491","primary","GEO"
"GSM1019492","GSM1019492","primary","GEO"
"GSM1019493","GSM1019493","primary","GEO"
"GSM1019494","GSM1019494","primary","GEO"
"GSM1019495","GSM1019495","primary","GEO"
"GSM1019496","GSM1019496","primary","GEO"
"GSM1019497","GSM1019497","primary","GEO"
"GSM1019498","GSM1019498","primary","GEO"
"GSM1019499","GSM1019499","primary","GEO"
"GSM1019500","GSM1019500","primary","GEO"
"GSM1019501","GSM1019501","primary","GEO"
"GSM1019502","GSM1019502","primary","GEO"
"GSM1019503","GSM1019503","primary","GEO"
"GSM1019504","GSM1019504","primary","GEO"
"GSM1019505","GSM1019505","primary","GEO"
"GSM1019506","GSM1019506","primary","GEO"
"GSM1019507","GSM1019507","primary","GEO"
"GSM1019508","GSM1019508","primary","GEO"
"GSM1019509","GSM1019509","primary","GEO"
"GSM1019510","GSM1019510","primary","GEO"
"GSM1019511","GSM1019511","primary","GEO"
"GSM1019512","GSM1019512","primary","GEO"
"GSM1019513","GSM1019513","primary","GEO"
"GSM1019514","GSM1019514","primary","GEO"
"GSM1019515","GSM1019515","primary","GEO"
"GSM1019516","GSM1019516","primary","GEO"
"GSM1019517","GSM1019517","primary","GEO"
"GSM1019518","GSM1019518","primary","GEO"
"GSM1019519","GSM1019519","primary","GEO"
"GSM1019520","GSM1019520","primary","GEO"
"GSM1019521","GSM1019521","primary","GEO"
"GSM1019522","GSM1019522","primary","GEO"
"GSM537330","GSM537330","metastasis","GEO"
"GSM537331","GSM537331","primary","GEO"
"GSM537332","GSM537332","primary","GEO"
"GSM537333","GSM537333","primary","GEO"
"GSM537334","GSM537334","primary","GEO"
"GSM537335","GSM537335","metastasis","GEO"
"GSM537336","GSM537336","primary","GEO"
"GSM537337","GSM537337","primary","GEO"
"GSM537338","GSM537338","primary","GEO"
"GSM537339","GSM537339","metastasis","GEO"
"GSM537340","GSM537340","metastasis","GEO"
"GSM537341","GSM537341","primary","GEO"
"GSM537342","GSM537342","primary","GEO"
"GSM537343","GSM537343","metastasis","GEO"
"GSM537344","GSM537344","metastasis","GEO"
"GSM537345","GSM537345","primary","GEO"
"GSM537346","GSM537346","metastasis","GEO"
"GSM537347","GSM537347","primary","GEO"
"GSM537348","GSM537348","primary","GEO"
"GSM537349","GSM537349","primary","GEO"
"GSM537350","GSM537350","primary","GEO"
"GSM537351","GSM537351","metastasis","GEO"
"GSM537352","GSM537352","metastasis","GEO"
"GSM537353","GSM537353","primary","GEO"
"GSM537354","GSM537354","primary","GEO"
"GSM537355","GSM537355","primary","GEO"
"GSM537356","GSM537356","primary","GEO"
"GSM537357","GSM537357","primary","GEO"
"GSM537358","GSM537358","primary","GEO"
"GSM537359","GSM537359","metastasis","GEO"
"GSM537360","GSM537360","metastasis","GEO"
"GSM537361","GSM537361","primary","GEO"
"GSM537362","GSM537362","primary","GEO"
"GSM537363","GSM537363","primary","GEO"
"GSM537364","GSM537364","metastasis","GEO"
"GSM537365","GSM537365","metastasis","GEO"
"GSM537366","GSM537366","primary","GEO"
"GSM537367","GSM537367","metastasis","GEO"
"GSM537368","GSM537368","primary","GEO"
"GSM537369","GSM537369","metastasis","GEO"
"GSM537370","GSM537370","primary","GEO"
"GSM537371","GSM537371","primary","GEO"
"GSM537372","GSM537372","metastasis","GEO"
"GSM537373","GSM537373","metastasis","GEO"
"GSM537374","GSM537374","primary","GEO"
"GSM537375","GSM537375","primary","GEO"
"GSM537376","GSM537376","primary","GEO"
"GSM537377","GSM537377","primary","GEO"
"GSM537378","GSM537378","primary","GEO"
"GSM537379","GSM537379","primary","GEO"
"GSM537380","GSM537380","primary","GEO"
"GSM537381","GSM537381","primary","GEO"
